Sport,Discipline,Event,Gender
Wrestling,Wrestling Gre-R,74 - 84kg,M
Wrestling,Wrestling Gre-R,74 - 84kg,M
Boxing,Boxing,75 - 81kg (light-heavyweight),M
Boxing,Boxing,75 - 81kg (light-heavyweight),M
Boxing,Boxing,75 - 81kg (light-heavyweight),M
Boxing,Boxing,75 - 81kg (light-heavyweight),M
Weightlifting,Weightlifting,75kg,W
Weightlifting,Weightlifting,75kg,W
Weightlifting,Weightlifting,75kg,W
Weightlifting,Weightlifting,77kg,M
Weightlifting,Weightlifting,77kg,M
Weightlifting,Weightlifting,77kg,M
Athletics,Athletics,800m,M
Athletics,Athletics,800m,M
Athletics,Athletics,800m,M
Athletics,Athletics,800m,W
Athletics,Athletics,800m,W
Athletics,Athletics,800m,W
Aquatics,Swimming,800m freestyle,W
Aquatics,Swimming,800m freestyle,W
Aquatics,Swimming,800m freestyle,W
Judo,Judo,81 - 90kg (middleweight),M
Judo,Judo,81 - 90kg (middleweight),M
Judo,Judo,81 - 90kg (middleweight),M
Judo,Judo,81 - 90kg (middleweight),M
Boxing,Boxing,81 - 91kg (heavyweight),M
Boxing,Boxing,81 - 91kg (heavyweight),M
Boxing,Boxing,81 - 91kg (heavyweight),M
Boxing,Boxing,81 - 91kg (heavyweight),M
Wrestling,Wrestling Free.,84 - 96kg,M
Wrestling,Wrestling Free.,84 - 96kg,M
Wrestling,Wrestling Free.,84 - 96kg,M
Wrestling,Wrestling Free.,84 - 96kg,M
Wrestling,Wrestling Gre-R,84 - 96kg,M
Wrestling,Wrestling Gre-R,84 - 96kg,M
Wrestling,Wrestling Gre-R,84 - 96kg,M
Wrestling,Wrestling Gre-R,84 - 96kg,M
Weightlifting,Weightlifting,85kg,M
Weightlifting,Weightlifting,85kg,M
Weightlifting,Weightlifting,85kg,M
Judo,Judo,90 - 100kg (half-heavyweight),M
Judo,Judo,90 - 100kg (half-heavyweight),M
Judo,Judo,90 - 100kg (half-heavyweight),M
Judo,Judo,90 - 100kg (half-heavyweight),M
Weightlifting,Weightlifting,94kg,M
Weightlifting,Weightlifting,94kg,M
Weightlifting,Weightlifting,94kg,M
Wrestling,Wrestling Free.,96 - 120kg,M
Wrestling,Wrestling Free.,96 - 120kg,M
Wrestling,Wrestling Free.,96 - 120kg,M
Wrestling,Wrestling Free.,96 - 120kg,M
Wrestling,Wrestling Gre-R,96 - 120kg,M
Wrestling,Wrestling Gre-R,96 - 120kg,M
Wrestling,Wrestling Gre-R,96 - 120kg,M
Wrestling,Wrestling Gre-R,96 - 120kg,M
Gymnastics,Artistic G.,balance beam,W
Gymnastics,Artistic G.,balance beam,W
Gymnastics,Artistic G.,balance beam,W
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
Baseball,Baseball,baseball,M
