"","V3","V1","V2.y"
"302","ALG",112111,"Algeria"
"303","ALG",112113,"Algeria"
"304","ALG",23885,"Algeria"
"305","ALG",106067,"Algeria"
"306","ALG",7424,"Algeria"
"307","ALG",35174,"Algeria"
"308","ALG",7438,"Algeria"
"309","ALG",7437,"Algeria"
"310","ALG",64299,"Algeria"
"311","ALG",3288,"Algeria"
"312","ALG",31553,"Algeria"
"313","ALG",31549,"Algeria"
"314","ALG",103456,"Algeria"
"315","ALG",64302,"Algeria"
"316","ALG",64300,"Algeria"
"317","ALG",51976,"Algeria"
"318","ALG",7423,"Algeria"
"319","ALG",120183,"Algeria"
"320","ALG",117190,"Algeria"
"321","ALG",113016,"Algeria"
"322","ALG",15682,"Algeria"
"323","ALG",103740,"Algeria"
"324","ALG",107456,"Algeria"
"325","ALG",31551,"Algeria"
"326","ALG",21036,"Algeria"
"327","ALG",64298,"Algeria"
"328","ALG",112110,"Algeria"
"329","ALG",106623,"Algeria"
"330","ALG",64309,"Algeria"
"331","ALG",64301,"Algeria"
"332","ALG",120832,"Algeria"
"333","ALG",103214,"Algeria"
"334","ALG",31532,"Algeria"
"335","ALG",116793,"Algeria"
"336","ALG",64296,"Algeria"
"337","ALG",112107,"Algeria"
"338","ALG",21035,"Algeria"
"339","ALG",93238,"Algeria"
"340","ALG",91869,"Algeria"
"341","ALG",107619,"Algeria"
"342","ALG",31544,"Algeria"
"343","ALG",112831,"Algeria"
"344","ALG",90752,"Algeria"
"345","ALG",64297,"Algeria"
"346","ALG",31539,"Algeria"
"347","ALG",5471,"Algeria"
"348","ALG",93933,"Algeria"
"349","ALG",125491,"Algeria"
"350","ALG",112109,"Algeria"
"351","ALG",31783,"Algeria"
"352","ALG",7436,"Algeria"
"353","ALG",94994,"Algeria"
"354","ALG",31533,"Algeria"
"355","ALG",83216,"Algeria"
"356","ALG",7434,"Algeria"
"357","ALG",106277,"Algeria"
"358","ALG",3289,"Algeria"
"359","ALG",31545,"Algeria"
"360","ALG",33978,"Algeria"
"361","ALG",7431,"Algeria"
"362","ALG",31552,"Algeria"
"363","ALG",123488,"Algeria"
"364","ALG",3293,"Algeria"
"365","ALG",120907,"Algeria"
"366","ALG",113058,"Algeria"
"367","ALG",91873,"Algeria"
"368","ALG",113050,"Algeria"
"369","ALG",108233,"Algeria"
"370","ALG",83219,"Algeria"
"371","ALG",64307,"Algeria"
"372","ALG",117211,"Algeria"
"373","ALG",93932,"Algeria"
"374","ALG",112344,"Algeria"
"375","ALG",103553,"Algeria"
"376","ALG",31547,"Algeria"
"377","ALG",83213,"Algeria"
"378","ALG",106259,"Algeria"
"379","ALG",33378,"Algeria"
"380","ALG",90753,"Algeria"
"381","ALG",64277,"Algeria"
"382","ALG",112112,"Algeria"
"383","ALG",114234,"Algeria"
"384","ALG",115787,"Algeria"
"385","ALG",64308,"Algeria"
"386","ALG",112579,"Algeria"
"387","ALG",5515,"Algeria"
"388","ALG",7432,"Algeria"
"389","ALG",33629,"Algeria"
"390","ALG",31546,"Algeria"
"391","ALG",83215,"Algeria"
"392","ALG",31775,"Algeria"
"393","ALG",33582,"Algeria"
"394","ALG",83218,"Algeria"
"395","ALG",91870,"Algeria"
"396","ALG",117175,"Algeria"
"397","ALG",31785,"Algeria"
"398","ALG",94993,"Algeria"
"399","ALG",7430,"Algeria"
"400","ALG",112677,"Algeria"
"401","ALG",64278,"Algeria"
"402","ALG",114666,"Algeria"
"403","ALG",33581,"Algeria"
"404","ALG",31779,"Algeria"
"405","ALG",106591,"Algeria"
"406","ALG",106717,"Algeria"
"407","ALG",111650,"Algeria"
"408","ALG",64294,"Algeria"
"409","ALG",64288,"Algeria"
"410","ALG",91872,"Algeria"
"411","ALG",64279,"Algeria"
"412","ALG",64286,"Algeria"
"413","ALG",3294,"Algeria"
"414","ALG",64292,"Algeria"
"415","ALG",112939,"Algeria"
"416","ALG",31788,"Algeria"
"417","ALG",64285,"Algeria"
"418","ALG",64295,"Algeria"
"419","ALG",31550,"Algeria"
"420","ALG",31543,"Algeria"
"421","ALG",112966,"Algeria"
"422","ALG",64287,"Algeria"
"423","ALG",106041,"Algeria"
"424","ALG",31534,"Algeria"
"425","ALG",64284,"Algeria"
"426","ALG",120909,"Algeria"
"427","ALG",31786,"Algeria"
"428","ALG",64293,"Algeria"
"429","ALG",115295,"Algeria"
"430","ALG",31541,"Algeria"
"431","ALG",31781,"Algeria"
"432","ALG",31782,"Algeria"
"433","ALG",127236,"Algeria"
"434","ALG",31778,"Algeria"
"435","ALG",13576,"Algeria"
